MERCHANT_CATEGORIZED_AT,MERCHANT_NAME,MERCHANT_CATEGORIZED_AS,PURCHASE_VALUE,PURCHASED_AT,IS_PURCHASE_PAID_VIA_MPESA_SEND_MONEY,USER_AGE,USER_GENDER,USER_HOUSEHOLD,USER_INCOME,USER_ID,Transaction_ID
,MARK NYABAYO,,20,2021-03-22 12:37:00+00,False,,,1,10000,ID_R4T8Q46J,ID_v13grrw3
,ACCESS AFYA,,1,2021-07-05 11:07:00+00,False,,,1,10000,ID_R4T8Q46J,ID_rgne8ij5
,POA,,1500,2021-06-21 19:40:00+00,False,,,1,10000,ID_R4T8Q46J,ID_4i2b28b6
,POA,,1500,2021-04-22 18:41:00+00,False,,,1,10000,ID_R4T8Q46J,ID_6dvi32yc
,ACCESS AFYA,,1,2021-07-29 13:03:00+00,False,,,1,10000,ID_R4T8Q46J,ID_sfk1yxbm
,POA,,1500,2021-01-22 15:45:00+00,False,,,1,10000,ID_R4T8Q46J,ID_plxh7ovt
,ACCESS AFYA,,1,2021-07-29 13:05:00+00,False,,,1,10000,ID_R4T8Q46J,ID_ruc994cp
,ACCESS AFYA,,1,2021-07-29 14:00:00+00,False,,,1,10000,ID_R4T8Q46J,ID_jdj2xryq
,ACCESS AFYA,,1,2021-07-05 12:35:00+00,False,,,1,10000,ID_R4T8Q46J,ID_qvyzfynf
,POA,,1000,2021-03-19 16:21:00+00,False,,,1,10000,ID_R4T8Q46J,ID_kidumhry
,MARK NYABAYO,,200,2021-03-26 17:18:00+00,False,,,1,10000,ID_R4T8Q46J,ID_pijf2ygr
,POA,,1500,2021-02-20 19:22:00+00,False,,,1,10000,ID_R4T8Q46J,ID_gthxz9tt
,QUICK MART,,303,2021-06-11 12:24:00+00,False,,,1,10000,ID_R4T8Q46J,ID_5c0n4e4l
,CRISTMART COLLECTIONS,,1450,2021-01-12 15:42:00+00,False,,,1,10000,ID_R4T8Q46J,ID_ceqz89a8
,ACCESS AFYA,,1,2021-07-29 13:57:00+00,False,,,1,10000,ID_R4T8Q46J,ID_fphuzyxp
,SPRITZ HAIR,,2000,2021-07-17 16:58:00+00,False,,,1,10000,ID_R4T8Q46J,ID_qknkmyb2
,MARK NYABAYO,,95,2021-04-05 08:15:00+00,False,,,1,10000,ID_R4T8Q46J,ID_6m45icf1
,QUICK MART,,1123,2021-05-10 15:54:00+00,False,,,1,10000,ID_R4T8Q46J,ID_pt8o1xzb
,KRA,,200,2021-09-09 13:03:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_q3rrquel
,DYNAMO DIGITAL,,50,2021-04-02 16:27:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_n4pckr8i
,MBCI  FOR,,21000,2021-01-27 16:59:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_r2blb95x
