ID,Offset_fault
ID_STL3V9B2OU12,0
ID_U2EKAY4SGA94,0
ID_UJFLEWQR0U4N,0
ID_S2C2GPGA4R5I,0
ID_5V2C2ZL221H8,1
ID_N8BYOCJ2AOFM,1
ID_HF47YBS9WXCH,0
ID_S8EW0HOMWYRL,0
ID_OCBS3JVMM9CE,0
ID_U59U3D19H38F,1
ID_OADTULIT3SCF,0
ID_097E1YY0XGKP,0
ID_58AO3HELK1C0,1
ID_LBGHR3HIRSV8,0
ID_PUNL7V4JILN6,0
ID_0U9I31O9ERV7,0
ID_IUF6V710E9SR,0
ID_BL2EFWEIATMO,0
ID_3T8NNBV4Y0GE,1
ID_DVMID0R1PBSC,0
ID_2ZTIXP6H1UKB,1
ID_F0OBFKCDRK6O,0
ID_6SB6G9PNPOO8,0
ID_WQ8QQB9PTE83,0
ID_VW40U8XEYLKM,1
ID_TB5TIV7XO9UN,0
ID_3YBP3ALPG7V1,0
ID_TKU71SRP3EGQ,0
ID_QZTBV8Y33VGH,0
ID_XVTKC9D3XFKB,0
ID_QWO78FQCNHPG,0
ID_CF8QDUO4IVUZ,0
ID_IXOBO7652UW9,1
ID_FQZSVQ3MCCLL,0
ID_JTN0OIQE6PH6,0
ID_HTHN8DXSR8NB,1
ID_R6JENR9NRKHF,0
ID_U3ZCMQINUZ7T,0
ID_86YED01Z08ZO,1
ID_TE8B5UQ9IO15,0
ID_M3KM463RAB11,0
ID_CB2LWTJOBI1Q,0
ID_R37PFLI026YB,0
ID_A6X7D49EFXJY,0
ID_RNZ6L5MKI76D,0
ID_6JUDUMJORA33,0
ID_CZH8IVV76N8V,1
ID_ORDMQU7UHSAI,0
ID_KXCQ38D7UZVS,0
ID_A939KYJJNRYF,0
ID_WVCB4ZJPRAZD,1
ID_16RIZVTYPVW6,0
ID_69C0V6N9WEIW,1
ID_45B01102IPOS,0
ID_UBYEGLQ608H4,0
ID_XWBM2TBJCZ5W,1
ID_JL5YA116AG8V,0
ID_2PFITZCLDEQI,0
ID_QA6J0U6HMAZY,1
ID_H5RSA3DURHL5,0
ID_MKK8HJ4RIX73,1
ID_FQVZXVE4NLOT,0
ID_Y3B9UMT63BP2,0
ID_8BUV8BNI5OQG,0
ID_RXUZAE9B8MH5,0
ID_630W7XUSXZMI,1
ID_TACHVE66C5ZK,0
ID_TMGWJB8UMBXC,0
ID_IU6W8BZERG3P,0
ID_HR9AQ2OW52L6,1
ID_EVZM5FPXMT8W,0
ID_88FAC4HWIE5E,0
ID_XI2BONYID5PP,1
ID_X09J6ORP0T3V,1
ID_A9UP6QPMKB56,0
ID_BJLINI5RBUEM,0
ID_YD70RDC225NT,1
ID_SJWEH3FSWMG7,1
ID_3TV1SJZH389N,0
ID_QGZKK5ERCQQL,0
ID_ZDEOJNOQOUMX,0
ID_JG4JLXPBAPZ0,0
ID_IKFBYICHBXGK,0
ID_FDW16MGY1D0A,1
ID_81MRLNFUVUC3,1
