country,year,uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Kenya,2018,uniqueid_1,Yes,Rural,Yes,3,24,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_2,No,Rural,No,5,70,Female,Head of Household,Widowed,No formal education,Government Dependent
Kenya,2018,uniqueid_3,Yes,Urban,Yes,5,26,Male,Other relative,Single/Never Married,Vocational/Specialised training,Self employed
Kenya,2018,uniqueid_4,No,Rural,Yes,5,34,Female,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,uniqueid_5,No,Urban,No,8,26,Male,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_6,No,Rural,No,7,26,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_7,No,Rural,Yes,7,32,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_8,No,Rural,Yes,1,42,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Kenya,2018,uniqueid_9,Yes,Rural,Yes,3,54,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_10,No,Urban,Yes,3,76,Female,Head of Household,Divorced/Seperated,No formal education,Remittance Dependent
Kenya,2018,uniqueid_11,No,Rural,Yes,5,40,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_12,Yes,Rural,Yes,3,69,Male,Head of Household,Married/Living together,Secondary education,Other Income
Kenya,2018,uniqueid_13,No,Rural,No,6,64,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,uniqueid_14,No,Rural,No,8,31,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_15,No,Urban,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_16,No,Rural,Yes,7,38,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_17,No,Urban,Yes,1,47,Female,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_18,Yes,Rural,Yes,6,27,Female,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_19,No,Urban,Yes,1,48,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
Kenya,2018,uniqueid_20,No,Rural,No,4,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_21,No,Rural,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_22,Yes,Urban,Yes,1,32,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed
Kenya,2018,uniqueid_23,No,Urban,Yes,4,34,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_24,No,Rural,Yes,3,21,Female,Spouse,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_25,No,Urban,No,7,18,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_26,No,Rural,Yes,5,22,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_27,No,Rural,No,8,26,Male,Child,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_28,No,Urban,Yes,1,31,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_29,No,Rural,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,uniqueid_30,No,Rural,No,7,58,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,2018,uniqueid_31,No,Urban,Yes,5,55,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_32,No,Urban,Yes,5,38,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_33,Yes,Urban,Yes,4,62,Female,Spouse,Married/Living together,Primary education,Formally employed Government
Kenya,2018,uniqueid_34,No,Rural,Yes,3,29,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_35,No,Rural,Yes,10,42,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_36,No,Rural,Yes,5,48,Female,Head of Household,Widowed,Primary education,Informally employed
Kenya,2018,uniqueid_37,No,Rural,Yes,4,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_38,No,Rural,Yes,5,45,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_39,No,Rural,Yes,8,45,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_40,No,Rural,No,3,70,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_41,No,Rural,Yes,6,67,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Kenya,2018,uniqueid_42,No,Urban,Yes,4,19,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_43,Yes,Rural,Yes,3,80,Male,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,2018,uniqueid_44,No,Rural,Yes,2,66,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_45,No,Urban,No,1,31,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
Kenya,2018,uniqueid_46,No,Rural,Yes,1,50,Female,Head of Household,Single/Never Married,Primary education,Self employed
