Date,Season,Match_ID,Game_ID,Home Team,Away Team,Score
2017-02-15,1,1.0,ID_KAG4KAE9,Antennae,Andromeda,Away win
2016-09-14,1,12.0,ID_T7H1XN5Z,Andromeda,Antennae,Draw
2016-12-12,1,13.0,ID_O1P9FGN4,Andromeda,Butterfly,Away win
2017-01-25,1,14.0,ID_TR5M4KQV,Andromeda,Cigar,Away win
2016-08-24,1,15.0,ID_EOIECRE2,Andromeda,Circinus,Home Win
2017-08-29,1,196.0,ID_8CRFDQZA,Andromeda,Cartwheel,Away win
2017-08-21,1,180.0,ID_CV7BOXYD,Andromeda,Coma Pinwheel,Away win
2016-08-04,1,16.0,ID_X5UEAAIY,Andromeda,Comet,Home Win
2017-03-07,1,17.0,ID_Z8TGBH41,Andromeda,Cosmos Redshift 7,Draw
2016-09-28,1,18.0,ID_4CYGD80A,Andromeda,Fireworks,Draw
2016-11-10,1,19.0,ID_XQMJ05QY,Andromeda,Medusa Merger,Home Win
2017-02-01,1,20.0,ID_OW9Z59TM,Andromeda,Milky Way,Home Win
2017-08-18,1,175.0,ID_QEHB6SP5,Butterfly,Andromeda,Draw
2016-09-22,1,44.0,ID_UL9DKAH4,Cartwheel,Andromeda,Draw
2016-08-11,1,54.0,ID_UFDKE17M,Sculptor,Andromeda,Home Win
2016-10-01,1,62.0,ID_GU6BX7OY,Cigar,Andromeda,Home Win
2017-01-03,1,103.0,ID_S6RUK5NW,Comet,Andromeda,Home Win
2016-08-28,1,116.0,ID_VUN0XPN1,Cosmos Redshift 7,Andromeda,Draw
2017-01-19,1,128.0,ID_XCHM541T,Eye of Sauron,Andromeda,Draw
2017-08-24,1,188.0,ID_9QKWORXG,Medusa Merger,Andromeda,Home Win
2016-11-05,1,160.0,ID_TLXXQLYC,Milky Way,Andromeda,Draw
2017-12-16,2,46.0,ID_HPYKEW7R,Antennae,Andromeda,Away win
2018-05-01,2,180.0,ID_IZLDEI78,Andromeda,Antennae,Away win
2018-03-03,2,121.0,ID_UC7PMJ25,Andromeda,Backward,Draw
2018-04-11,2,154.0,ID_5HWA04IU,Andromeda,Sculptor,Draw
2018-03-20,2,133.0,ID_20BPYE4G,Andromeda,Cartwheel,Draw
2018-05-19,2,201.0,ID_CHH8Y1BD,Andromeda,Sunflower,Home Win
2018-01-30,2,95.0,ID_T1Q3B3GG,Andromeda,Comet,Home Win
2018-02-02,2,101.0,ID_DEBRT4C8,Andromeda,Cosmos Redshift 7,Home Win
2017-12-19,2,50.0,ID_9DPBXX3W,Andromeda,Medusa Merger,Draw
2017-10-28,2,13.0,ID_DF19AH9G,Andromeda,Milky Way,Home Win
2018-01-16,2,72.0,ID_K81P666R,Andromeda,Triangulum,Home Win
2018-06-02,2,202.0,ID_UATYFRPS,Cigar,Andromeda,Home Win
2018-01-24,2,86.0,ID_XDMKT9HU,Cartwheel,Andromeda,Home Win
2017-11-28,2,41.0,ID_AO17ZS96,Sunflower,Andromeda,Draw
2018-05-12,2,194.0,ID_OJUD1I32,Comet,Andromeda,Home Win
2018-04-03,2,142.0,ID_IDEQCVEC,Tadpole,Andromeda,Draw
2017-11-21,2,24.0,ID_04T9W310,Andromeda,Cigar,Draw
2018-02-12,2,107.0,ID_YO3TBJ4R,Fireworks,Andromeda,Away win
2018-04-28,2,172.0,ID_HHF8W6GO,Medusa Merger,Andromeda,Draw
2018-04-21,2,176.0,ID_XEI81LPI,Milky Way,Andromeda,Away win
2017-08-15,1,170.0,ID_CGX3THAU,Antennae,Backward,Draw
2016-11-09,1,5.0,ID_P9QCOLI6,Antennae,Circinus,Away win
2017-08-29,1,195.0,ID_OLMRL7BS,Antennae,Coma Pinwheel,Home Win
2016-12-01,1,6.0,ID_0O3OGCB9,Antennae,Comet,Draw
